ImageID,Latitude,Longitude,ResolutionUnit,ExifOffset,Make,Model,Software,DateTime,XResolution,YResolution,ExifVersion,ShutterSpeedValue,ApertureValue,DateTimeOriginal,DateTimeDigitized,ExposureBiasValue,MaxApertureValue,SubjectDistance,MeteringMode,LightSource,Flash,FocalLength,ColorSpace,DigitalZoomRatio,FocalLengthIn35mmFilm,SceneCaptureType,OffsetTime,Contrast,Saturation,Sharpness,FileSource,ExposureTime,FNumber,SceneType,ExposureProgram,CustomRendered,ISOSpeedRatings,ExposureMode,SensitivityType,WhiteBalance,BodySerialNumber,LensSpecification,LensModel,GainControl
Waterville Brown Tail 2022-1963.jpg,44.579580305,-69.655020945,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 09:05:52,300.0,300.0,b'0231',7.321928,2.970854,2022:12:13 09:46:33,2022:12:13 09:46:33,0.7,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.00625,2.8,b'\x01',2,0,100,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-3812.jpg,44.58266936166667,-69.657225195,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 09:54:41,300.0,300.0,b'0231',8.965784,2.970854,2022:12:13 11:19:33,2022:12:13 11:19:33,0.0,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.002,2.8,b'\x01',2,0,100,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-3806.jpg,44.58256836166667,-69.65722347166667,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 09:54:33,300.0,300.0,b'0231',8.965784,2.970854,2022:12:13 11:18:55,2022:12:13 11:18:55,-0.7,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.002,2.8,b'\x01',2,0,100,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-1977.jpg,44.579329555,-69.65492666666667,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 09:06:14,300.0,300.0,b'0231',8.643856,2.970854,2022:12:13 09:46:50,2022:12:13 09:46:50,-0.7,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.0025,2.8,b'\x01',2,0,110,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-1787.jpg,44.57985877833333,-69.65505761166666,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 09:01:24,300.0,300.0,b'0231',8.643856,2.970854,2022:12:13 09:30:19,2022:12:13 09:30:19,-0.7,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.0025,2.8,b'\x01',2,0,120,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-4827.jpg,44.563257,-69.647537195,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 10:19:49,300.0,300.0,b'0231',8.643856,2.970854,2022:12:13 12:27:03,2022:12:13 12:27:03,0.0,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.0025,2.8,b'\x01',2,0,110,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-3190.jpg,44.576439305,-69.65369347166667,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 09:39:18,300.0,300.0,b'0231',9.643856,2.970854,2022:12:13 10:32:00,2022:12:13 10:32:00,-1.3,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.00125,2.8,b'\x01',2,0,110,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-4199.jpg,44.582833083333334,-69.66035427833333,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 10:04:07,300.0,300.0,b'0231',7.906891,2.970854,2022:12:13 11:38:39,2022:12:13 11:38:39,0.7,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.004166666666666667,2.8,b'\x01',2,0,110,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-4833.jpg,44.56323116666667,-69.64751375,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 10:19:58,300.0,300.0,b'0231',9.321928,2.970854,2022:12:13 12:27:09,2022:12:13 12:27:09,-0.7,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.0015625,2.8,b'\x01',2,0,100,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-3184.jpg,44.576370945,-69.65368358333333,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 09:39:10,300.0,300.0,b'0231',7.643856,2.970854,2022:12:13 10:31:55,2022:12:13 10:31:55,0.7,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.005,2.8,b'\x01',2,0,100,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
